Product ID,SKU,Product Name,Price,Discount,No. of Sales,No. of Reviews,Seller Location,Product Link
247191593,247191593_BD-1926009609,"Stylish Cotton Half Sleeve T-Shirt For Men",188.0,58.0,3500,0,Dhaka,//www.daraz.com.bd/products/-i247191593.html
300361313,300361313_BD-1334495098,"Complete Your Wardrobe with a Black Cotton Combo T-Shirt & Pant for Men - T-Shirt & Trouser Pant for Men - Very Comfortable and Fashionable",437.0,27.0,4200,0,Dhaka,//www.daraz.com.bd/products/complete-your-wardrobe-with-a-black-cotton-combo-t-shirt-pant-for-men-t-shirt-trouser-pant-for-men-very-comfortable-and-fashionable-i300361313.html
387650222,387650222_BD-1933123077,"Summer Printed Combo T-Shirt & Pant For Men",335.0,48.0,81,0,Dhaka,//www.daraz.com.bd/products/-i387650222.html
391044172,391044172_BD-2078294190,"Smart Tshirt For Men - T Shirt For Man - T Shirt",99.0,50.0,45,0,Dhaka,//www.daraz.com.bd/products/-i391044172.html
346218154,346218154_BD-1694250523,"Black T-Shirt And 2 Quarter Pant For Men",246.0,38.0,3700,0,Dhaka,//www.daraz.com.bd/products/2-i346218154.html
391807323,391807323_BD-1954989930,"Love Desing Soft & Comfortable T-shirt For men new 2024",90.0,64.0,315,0,Dhaka,//www.daraz.com.bd/products/2024-i391807323.html
387637905,387637905_BD-1933127048,"Summer Printed Combo T-Shirt & Pant For Men",328.0,50.0,35,0,Dhaka,//www.daraz.com.bd/products/-i387637905.html
392383165,392383165_BD-1956913082,"Premium Quality - Stylish New T Shirt - Casual New T-shirt Fabric soft and com fortable - T Shirt For Man",90.0,64.0,69,0,Dhaka,//www.daraz.com.bd/products/-i392383165.html
395150208,395150208_BD-1964916578,"New summer comfort Combo T-Shirt & Pant For Men - T Shirt For Man - T Shirt",323.0,54.0,49,0,Dhaka,//www.daraz.com.bd/products/-i395150208.html
387713365,387713365_BD-1933467334,"New Stylish T-shirt for men // No Girl Friend T-Shirt",220.0,27.0,119,0,Dhaka,//www.daraz.com.bd/products/no-girl-friend-i387713365.html
356003754,356003754_BD-1751493665,"Brazil 5 star  Exclusive new T-Shirt For Man Half Sleeve T Shirt For Men - T Shirt",99.0,51.0,3000,0,Dhaka,//www.daraz.com.bd/products/5-i356003754.html
394493725,394493725_BD-1962870169,"no girls Premium Quality - stylish new T Shirt - Casual Exclusive half Sleeve T Shirt For Men - T Shirt",96.0,46.0,1600,0,Dhaka,//www.daraz.com.bd/products/-i394493725.html
390374720,390374720_BD-1949799601,"Premium Cotton Casual Polo T-shirt for Men -  T Shirt For Men",199.0,0.0,77,0,Dhaka,//www.daraz.com.bd/products/-i390374720.html
316296556,316296556_BD-1877385117,"T-shirt for men premium quality. 1",175.0,73.0,8200,0,Rajshahi,//www.daraz.com.bd/products/1-i316296556.html
391780443,391780443_BD-1954907360,"T-SHIRT dream smile design Sky blue colour",90.0,55.0,64,0,Dhaka,//www.daraz.com.bd/products/-i391780443.html
387642703,387642703_BD-1933115769,"Summer Printed Combo T-Shirt & Pant For Men",335.0,48.0,29,0,Dhaka,//www.daraz.com.bd/products/-i387642703.html
271309266,271309266_BD-2064089187,"Combo Set - T-Shirt and Trouser for Men - Soft Fabric and Comfortable Ensemble, Ideal for Casual Days in Moderate Weather",496.0,76.0,6400,0,Dhaka,//www.daraz.com.bd/products/combo-set-t-shirt-and-trouser-for-men-soft-fabric-and-comfortable-ensemble-ideal-for-casual-days-in-moderate-weather-i271309266.html
298752868,298752868_BD-1954515957,"Stylish Addition - New Stylist Printed Cotton Haf Sleeve T Shirt For Men Haf Sleeve T Shirt For Men - T Shirt - Modern - Choice Expression",200.0,52.0,1000,0,Dhaka,//www.daraz.com.bd/products/-i298752868.html
391044204,391044204_BD-2075463247,"New Jarsy  Desing Digital printed Boys T-shirt/ Tshirt For Men/ T-shirt",89.0,55.0,46,0,Dhaka,//www.daraz.com.bd/products/-i391044204.html
391771266,391771266_BD-1954892709,"Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity",90.0,63.0,39,0,Dhaka,//www.daraz.com.bd/products/-i391771266.html
391812408,391812408_BD-1955019201,"premium Quality T shirt for mens",139.0,54.0,35,0,Dhaka,//www.daraz.com.bd/products/-i391812408.html
392384593,392384593_BD-1956973108,"New Best Save Palestine Synthetic T-Shirt for Men",90.0,72.0,12,0,Dhaka,//www.daraz.com.bd/products/-i392384593.html
392380671,392380671_BD-1956965000,"Export Quality New T-Shirt Fabric Soft And Comfortable - T Shirt",90.0,64.0,28,0,Dhaka,//www.daraz.com.bd/products/-i392380671.html
391040820,391040820_BD-2078066743,"2 Pis Stylist Summer - Tshirt For Men or ledis",190.0,47.0,24,0,Dhaka,//www.daraz.com.bd/products/2-i391040820.html
269755117,269755117_BD-1632223359,"Stream Rap Men's T-Shirt II Printed Casual - Half Sleeve Round Neck - Comfortable to Wear in Summer Season",95.0,52.0,22600,0,Dhaka,//www.daraz.com.bd/products/stream-rap-mens-t-shirt-ii-printed-casual-half-sleeve-round-neck-comfortable-to-wear-in-summer-season-i269755117.html
192042736,192042736_BD-1138894260,"Black Printed Summer Combo T-Shirt & Pant for Men",256.0,53.0,36900,0,Dhaka,//www.daraz.com.bd/products/-i192042736.html
342846611,342846611_BD-1672821055,"China Vland Degin Tshirt For men",99.0,50.0,3100,0,Dhaka,//www.daraz.com.bd/products/-i342846611.html
323501490,323501490_BD-1541186770,"Best Quality Casual T-shirt's for men",107.0,57.0,6400,0,Dhaka,//www.daraz.com.bd/products/-i323501490.html
361958690,361958690_BD-1786323392,"ami amar moto New Desing Soft & Comfortable T-shirt For Men-T-shirt",96.0,52.0,1700,0,Dhaka,//www.daraz.com.bd/products/ami-amar-moto-i361958690.html
391046127,391046127_BD-2107345627,"Combo 2 PIS Comfortable casual T-shirt for men",199.0,38.0,9,0,Dhaka,//www.daraz.com.bd/products/2-i391046127.html
226355635,226355635_BD-1969289060,"New Stylist Printed  Half Sleeve T Shirt For Men",98.0,72.0,8800,0,Dhaka,//www.daraz.com.bd/products/-i226355635.html
387638707,387638707_BD-1933076896,"Babchi Ekto aVadro Hobo Desing Soft & Comfortable T-shirt For men new 2024",95.0,52.0,17,0,Dhaka,//www.daraz.com.bd/products/babchi-ekto-avadro-hobo-desing-2024-i387638707.html
387055813,387055813_BD-1929890673,"Maddo's aesthetic, cotton drop shoulder t-shirt",500.0,50.0,35,0,Dhaka,//www.daraz.com.bd/products/-i387055813.html
132668666,132668666_BD-1053836628,"Olive Polyester Short Sleeve T-Shirt for Men",157.0,50.0,3400,0,Dhaka,//www.daraz.com.bd/products/-i132668666.html
391780478,391780478_BD-1954907500,"Multi Color T Shirt For Men - Comfortable",90.0,64.0,42,0,Dhaka,//www.daraz.com.bd/products/-i391780478.html
333360720,333360720_BD-1646492844,"Casual Printed Jersey T-Shirt for Men's (Joto Crush Toto Bash)",90.0,0.0,1300,0,Dhaka,//www.daraz.com.bd/products/-i333360720.html
266715505,266715505_BD-1238360067,"Comfortable Jersey Febric Printed Black T-Shirt for Men - Comfort Style with Half Sleeve Round Collar T-Shirt",89.0,50.0,2200,0,Dhaka,//www.daraz.com.bd/products/comfortable-jersey-febric-printed-black-t-shirt-for-men-comfort-style-with-half-sleeve-round-collar-t-shirt-i266715505.html
391040511,391040511_BD-2078265349,"Daraz New Desing Soft & Comfortable T-shirt For Men",99.0,50.0,23,0,Dhaka,//www.daraz.com.bd/products/-i391040511.html
391462662,391462662_BD-1953540347,"Jersey T-Shirt For Man| Half Hand T Shirt For Men",90.0,64.0,18,0,Dhaka,//www.daraz.com.bd/products/-i391462662.html
392380469,392380469_BD-1956957026,"T-Shirt Fabric Soft And Comfortable For Men All Season",90.0,78.0,17,0,Dhaka,//www.daraz.com.bd/products/-i392380469.html
355985488,355985488_BD-1751297032,"Lamborgani Exclusive new T-Shirt For Man Half Sleeve T Shirt For Men - T Shirt",99.0,50.0,352,0,Dhaka,//www.daraz.com.bd/products/-i355985488.html
391441562,391441562_BD-1953247472,"Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity",90.0,64.0,28,0,Dhaka,//www.daraz.com.bd/products/-i391441562.html
340800582,340800582_BD-1670784138,"Black Combo T-Shirt & trouser Pant For Man",425.0,29.0,298,0,Dhaka,//www.daraz.com.bd/products/-i340800582.html
342892162,342892162_BD-1672867960,"boys Premium Quality - stylish new T Shirt - Casual T Shirt For Men // T Shirt",92.0,49.0,887,0,Dhaka,//www.daraz.com.bd/products/-i342892162.html
351467493,351467493_BD-1723793210,"highway half Sleep T-shirt For Men,stylish premium T-Shirt for Men's",96.0,46.0,175,0,Dhaka,//www.daraz.com.bd/products/-i351467493.html
391808240,391808240_BD-1954982725,"Love Summer Stylist T-Shirt - Tshirt For Men - T Shirt For Man Tabassum Fashion LTD",90.0,55.0,14,0,Dhaka,//www.daraz.com.bd/products/-i391808240.html
143636151,143636151_BD-1068004378,"Black Cotton Short Sleeve T-Shirt For Men - T Shirt For Man",110.0,69.0,1900,0,Dhaka,//www.daraz.com.bd/products/black-cotton-short-sleeve-t-shirt-for-men-t-shirt-for-man-i143636151.html
346212880,346212880_BD-1694275213,"Black Cotton Combo T-Shirt & trouser Pant For Man",357.0,55.0,365,0,Dhaka,//www.daraz.com.bd/products/-i346212880.html
347638839,347638839_BD-1700635052,"Summer Printed Combo T-Shirt & Pant - Black - T-Shirt - T Shirt For Man - T Shirt For Man - T Shirt For Man",375.0,37.0,1600,0,Dhaka,//www.daraz.com.bd/products/-i347638839.html
387641544,387641544_BD-1933080438,"HatE & LoVe Design Soft & Comfortable T-shirt For men new 2024",95.0,52.0,0,0,Dhaka,//www.daraz.com.bd/products/2024-i387641544.html
389961569,389961569_BD-1946112521,"Stylist premium Quality Summer T- Shirt For Men -  T Shirt",165.0,27.0,26,0,Dhaka,//www.daraz.com.bd/products/-i389961569.html
313948897,313948897_BD-1408974526,"2023 Summer New Fashionable T-shirt For Men [ High Quality Classical Tops ]",210.0,68.0,7900,0,Dhaka,//www.daraz.com.bd/products/2023-i313948897.html
395719196,395719196_BD-1967369856,"Always Smile  Design Soft & Comfortable Men's T-Shirt - Half Sleeve Round Neck - Comfortable to Wear in Summer Season",94.0,50.0,0,0,Dhaka,//www.daraz.com.bd/products/-i395719196.html
382643159,382643159_BD-1916165054,"Premium Quality - New T shirt -Febric soft and comfortable to wear - T Shirt - T Shirt For Man - Couture - High-end - Iconic Style",79.0,60.0,83,0,Dhaka,//www.daraz.com.bd/products/-i382643159.html
248534191,248534191_BD-1194686587,"Solid Casual Men's T-Shirt - Half Sleeve Round Neck - Comfortable to Wear in Summer Season",95.0,37.0,1300,0,Dhaka,//www.daraz.com.bd/products/solid-casual-mens-t-shirt-half-sleeve-round-neck-comfortable-to-wear-in-summer-season-i248534191.html
392385598,392385598_BD-1956984148,"Export Quality T-Shirt Fabric Soft And Comfortable - T Shirt",90.0,64.0,8,0,Dhaka,//www.daraz.com.bd/products/-i392385598.html
361431457,361431457_BD-1784804810,"Anime Premium Quality - stylish new T Shirt - Casual T Shirt For Men // T Shirt",75.0,79.0,756,0,Dhaka,//www.daraz.com.bd/products/-i361431457.html
392384397,392384397_BD-1956928917,"Premium Jarsy KApor Quality - stylish new T Shirt - Casual Exclusive half Sleeve T Shirt For Men - T Shirt",90.0,61.0,7,0,Dhaka,//www.daraz.com.bd/products/-i392384397.html
343711401,343711401_BD-1676577640,"2 pis combo New T shirt -Febric soft and comfortable to wear - T Shirt For Man",193.0,44.0,2100,0,Dhaka,//www.daraz.com.bd/products/2-i343711401.html
318599187,318599187_BD-1453558559,"Printed summer comfort Combo T-Shirt & Pant For Men - T Shirt For Man - T Shirt",283.0,56.0,1900,0,Dhaka,//www.daraz.com.bd/products/3-i318599187.html
191909875,191909875_BD-1138825296,"Splendid Indispensable -Quality And Durablity -High Quality Cotton&Polyester T-shirt & 2 Quarter Pants For Man- Innovative",356.0,46.0,7000,0,Dhaka,//www.daraz.com.bd/products/2-i191909875.html
388877225,388877225_BD-1938297710,"Premium Quality mesh fabric T-Shirt for Men",237.0,53.0,18,0,Rajshahi,//www.daraz.com.bd/products/-i388877225.html
270725233,270725233_BD-1612081777,"6 Combo T-Shirt For Man| Half Sleeve T Shirt For Men | T-Shirts For Men",556.0,31.0,1400,0,Dhaka,//www.daraz.com.bd/products/6-i270725233.html
266379836,266379836_BD-1238107899,"Always Smile T-Shirt for Man - Half Sleeve T-Shirt - Express Positivity with Comfortable and Stylish Fashion",94.0,47.0,5300,0,Dhaka,//www.daraz.com.bd/products/always-smile-t-shirt-for-man-half-sleeve-t-shirt-express-positivity-with-comfortable-and-stylish-fashion-i266379836.html
345328368,345328368_BD-2078227197,"Vabsi Ektu Vodro Hobo Printed Casual T-Shirt for Men - Showcase Unique Style in Your Casual and Stylish Fashion",99.0,55.0,2000,0,Dhaka,//www.daraz.com.bd/products/vabsi-ektu-vodro-hobo-i345328368.html
391453713,391453713_BD-1953530019,"Printed Casual T-Shirt//Tshirt For Men",90.0,64.0,17,0,Dhaka,//www.daraz.com.bd/products/-i391453713.html
391044474,391044474_BD-1952505619,"2 pse Jokar Combbo tshirt for men And Women",199.0,45.0,11,0,Dhaka,//www.daraz.com.bd/products/2-i391044474.html
253190397,253190397_BD-1198636941,"Grey&Whit Poly-Cotton T-Shirt For Men",109.0,56.0,1900,0,Dhaka,//www.daraz.com.bd/products/-i253190397.html
391043479,391043479_BD-1952501509,"à¦“à¦°à¦¾ à¦•à¦¯à¦¼ à¦“à¦°à¦¾à¦‡ à¦Ÿà¦ª à¦“à¦°à¦¾à¦‡ à¦¸à¦¬ à¦†à¦®à¦°à¦¾ à¦•à¦¿ à¦«à¦¾à¦“ à¦¨à¦¿ à¦­à¦¾à¦‡à¦¯à¦¼à¦¾ Half Sleeve T-Shirt For Men - off no brand - Soft and comfortabl",99.0,51.0,10,0,Dhaka,//www.daraz.com.bd/products/airr-i391043479.html
362505268,362505268_BD-1788590243,"best Premium T-Shirts For Men",99.0,50.0,1100,0,Dhaka,//www.daraz.com.bd/products/-i362505268.html
325883433,325883433_BD-1565764183,"4 pis combo casual Printed T Shirt For Men",389.0,14.0,663,0,Dhaka,//www.daraz.com.bd/products/4-i325883433.html
391459266,391459266_BD-1953400608,"tylish Unisex White And Ash Color Tshirts - Tshirt For Men",90.0,64.0,0,0,Dhaka,//www.daraz.com.bd/products/-i391459266.html
391040825,391040825_BD-1952506609,"2 Pis Stylist Summer - Tshirt For Men",199.0,50.0,0,0,Dhaka,//www.daraz.com.bd/products/2-i391040825.html
391440236,391440236_BD-1953182170,"Men New Fashionable New Design Digital Printed Boys T-Shirt for Men - Artful Fashion for Casual Occasions and Moderate Weather",90.0,64.0,10,0,Dhaka,//www.daraz.com.bd/products/-i391440236.html
351469213,351469213_BD-1723795560,"hip hop half Sleep T-shirt For Men,stylish premium T-Shirt for Men's",93.0,48.0,2300,0,Dhaka,//www.daraz.com.bd/products/-i351469213.html
314678238,314678238_BD-1416283558,"Premium Quality mesh fabric T-Shirt for  Men",254.0,61.0,2900,0,Rajshahi,//www.daraz.com.bd/products/-i314678238.html
343274497,343274497_BD-2127546334,"Solid  White Colour Soft & Comfortable T-shirt",88.0,56.0,165,0,Dhaka,//www.daraz.com.bd/products/-i343274497.html
391804310,391804310_BD-1954985152,"Polyester Short Sleeve T-Shirt for Men",90.0,61.0,0,0,Dhaka,//www.daraz.com.bd/products/-i391804310.html
405129671,405129671_BD-2009361819,"Tara Best Tshirt Buy T-Shirts For Men In Bangladesh",89.0,55.0,43,0,Dhaka,//www.daraz.com.bd/products/-i405129671.html
323349959,323349959_BD-1543972723,"Mash Fabrics T-shirt for summer",229.0,65.0,426,0,Rajshahi,//www.daraz.com.bd/products/-i323349959.html
392938577,392938577_BD-1959138979,"White Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Boys",372.0,43.0,34,0,Dhaka,//www.daraz.com.bd/products/-i392938577.html
389937991,389937991_BD-1946021200,"premium quality t-shirt for men no girlfriend no Problem",169.0,32.0,7,0,Dhaka,//www.daraz.com.bd/products/-i389937991.html
361013778,361013778_BD-1783270857,"New White simple Soft & Comfortable T-shirt For Men",90.0,68.0,401,0,Dhaka,//www.daraz.com.bd/products/-i361013778.html
409868007,409868007_BD-2025936933,"Beautiful and Peaceful Islam Printed Casual T-Shirt For Man - A Round Neck Casual Wear Reflecting Your Cultural Identity",96.0,52.0,11,0,Dhaka,//www.daraz.com.bd/products/-i409868007.html
302766777,302766777_BD-1347516354,"Black Printed Round Neck Summer Combo T-Shirt & Pant for Men - Step Out in Style - Perfect For All Season",245.0,42.0,1900,0,Dhaka,//www.daraz.com.bd/products/-i302766777.html
405288167,405288167_BD-2008812372,"Mosjid Design best Premium T-Shirts For Men",89.0,55.0,53,0,Dhaka,//www.daraz.com.bd/products/-i405288167.html
347906842,347906842_BD-1802523079,"Special forces Round neck T-shirt for men's",420.0,13.0,1000,0,Rangpur,//www.daraz.com.bd/products/-i347906842.html
389955546,389955546_BD-1946083429,"Stylist premium Quality Summer T-Shirt For Men - T Shirt",185.0,29.0,8,0,Dhaka,//www.daraz.com.bd/products/-i389955546.html
136918705,136918705_BD-1059194589,"Grey Cotton Short Sleeve T-Shirt for Men",157.0,21.0,3400,0,Dhaka,//www.daraz.com.bd/products/-i136918705.html
344012170,344012170_BD-1678250885,"Green Printed Exclusive Summer Combo T-Shirt & Pant",315.0,32.0,1600,0,Dhaka,//www.daraz.com.bd/products/-i344012170.html
391440815,391440815_BD-1953294460,"Indispensable Quality and Durability - Half Sleeve Chinese Microfibre T-Shirts for Men - Innovative, Easy to Care, and Long-Lasting",90.0,61.0,10,0,Dhaka,//www.daraz.com.bd/products/-i391440815.html
411672551,411672551_BD-2036824703,"Plen Marshmallow Trendy t- shirt Cat design",95.0,52.0,35,0,Dhaka,//www.daraz.com.bd/products/-i411672551.html
361185449,361185449_BD-1784012317,"T-SHIRT dream smile design Sky blue colour",96.0,52.0,490,0,Dhaka,//www.daraz.com.bd/products/-i361185449.html
392943376,392943376_BD-1959155620,"Grey Combo Set Half Sleeve T-Shirt & Quarter Pant For Men - T Shirt & Pant For Boys",370.0,43.0,12,0,Dhaka,//www.daraz.com.bd/products/-i392943376.html
387656018,387656018_BD-1933118945,"Summer Printed Combo T-Shirt & Pant For Men",335.0,48.0,0,0,Dhaka,//www.daraz.com.bd/products/-i387656018.html
347679974,347679974_BD-2020513939,"New Collection Super dejain Summer Combo T-Shirt & Full Pant",477.0,65.0,489,0,Dhaka,//www.daraz.com.bd/products/-i347679974.html
306087602,306087602_BD-1368463418,"Premium Quality  Mesh Fabrics T-Shirt for men",254.0,61.0,4600,0,Rajshahi,//www.daraz.com.bd/products/-i306087602.html
325299657,325299657_BD-1706004803,"black colour combo set t shirt 3/4 pant for mans",267.0,24.0,1100,0,Dhaka,//www.daraz.com.bd/products/34-i325299657.html
182257407,182257407_BD-1128514987,"New Comfortable and Soft T-Shirt for Men - Just Do It - Ideal for All Seasons",212.0,78.0,7400,0,Dhaka,//www.daraz.com.bd/products/new-comfortable-and-soft-t-shirt-for-men-just-do-it-ideal-for-all-seasons-i182257407.html
394312630,394312630_BD-1962479377,"White Combo Set Half Sleeve White T-Shirt & Black Quarter Pant For Men - T Shirt & Pant For Boys",370.0,43.0,14,0,Dhaka,//www.daraz.com.bd/products/-i394312630.html
391044282,391044282_BD-1952497656,"New jarsy kapor  Exclusive new T-Shirt For Man Half Sleeve T Shirt For Men - T Shirt",99.0,50.0,5,0,Dhaka,//www.daraz.com.bd/products/-i391044282.html
111364071,111364071_BD-1028324036,"Cotton Casual T-Shirt for Men - Effortless Style with Comfortable Fabric",117.0,61.0,1800,0,Dhaka,//www.daraz.com.bd/products/cotton-casual-t-shirt-for-men-effortless-style-with-comfortable-fabric-i111364071.html
343864598,343864598_BD-1677134336,"Relex New Desing Stylish Casual T-Shirt for men",99.0,53.0,46,0,Dhaka,//www.daraz.com.bd/products/relex-i343864598.html
324317267,324317267_BD-1720419210,"Black High Staylish Full Sleeve  T-Shirt For Men",248.0,45.0,2800,0,Dhaka,//www.daraz.com.bd/products/-i324317267.html
387642574,387642574_BD-1933112330,"Summer Printed Combo T-Shirt & Pant For Men",330.0,49.0,11,0,Dhaka,//www.daraz.com.bd/products/-i387642574.html
344002355,344002355_BD-1678243371,"T-Shirt For Man| Half Sleeve T Shirt For Men",99.0,52.0,1500,0,Dhaka,//www.daraz.com.bd/products/-i344002355.html
321881190,321881190_BD-1499933574,"Half Sleeve Chinese Microfiber Printed T-Shirts for Women - Trendy and Comfortable Casual Wear",99.0,60.0,2900,0,Dhaka,//www.daraz.com.bd/products/half-sleeve-chinese-microfiber-printed-t-shirts-for-women-trendy-and-comfortable-casual-wear-i321881190.html
361427236,361427236_BD-1784771373,"Anime Half-Sleeve T-shirt, Jersey Fabric, Itachi logo on Middle, Naruto",75.0,71.0,174,0,Dhaka,//www.daraz.com.bd/products/-i361427236.html
344499989,344499989_BD-1682678512,"Ash  Joker  Desing Digital printed Boys T-shirt/ Tshirt For Men/ T-shirt",95.0,57.0,148,0,Dhaka,//www.daraz.com.bd/products/-i344499989.html
112966697,112966697_BD-1030044950,"Cotton T-Shirt For Man - T Shirt For Man - T Shirt For Man - T Shirt For Man",113.0,81.0,4000,0,Dhaka,//www.daraz.com.bd/products/cotton-t-shirt-for-man-t-shirt-for-man-t-shirt-for-man-t-shirt-for-man-i112966697.html
387640686,387640686_BD-1933093692,"Summer Printed Combo T-Shirt & Pant For Men",335.0,48.0,7,0,Dhaka,//www.daraz.com.bd/products/-i387640686.html
347779690,347779690_BD-1703118452,"New White simple Soft & Comfortable T-shirt For Men",85.0,66.0,1600,0,Dhaka,//www.daraz.com.bd/products/-i347779690.html
391622610,391622610_BD-1954395812,"Men's T-Shirts Online: Buy T-Shirts For Men In Bangladesh â€“ Tshirt",95.0,52.0,0,0,Dhaka,//www.daraz.com.bd/products/mens-t-shirts-online-buy-t-shirts-for-men-in-bangladesh-tshirt-i391622610.html
323907698,323907698_BD-1546489714,"Best Quality Casual T-shirt's for men",109.0,56.0,11,0,Dhaka,//www.daraz.com.bd/products/-i323907698.html
228207276,228207276_BD-1172104486,"Half Sleeve T-Shirt For Men",127.0,56.0,2100,0,Rangpur,//www.daraz.com.bd/products/-i228207276.html
394590606,394590606_BD-1963325229,"MEN'S COTTON T-SHIRT Dhonsher Ses",344.0,28.0,5,0,Dhaka,//www.daraz.com.bd/products/ses-i394590606.html
387639545,387639545_BD-1933084286,"Summer Printed Combo T-Shirt & Pant For Men",327.0,50.0,7,0,Dhaka,//www.daraz.com.bd/products/-i387639545.html
387637981,387637981_BD-1933118847,"Summer Printed Combo T-Shirt & Pant For Men",335.0,48.0,0,0,Dhaka,//www.daraz.com.bd/products/-i387637981.html
391810092,391810092_BD-1954976430,"T-shirt for men premium quality. 1",90.0,63.0,0,0,Dhaka,//www.daraz.com.bd/products/1-i391810092.html
389097474,389097474_BD-1939094988,"Best Premium Fashionable stylish premium quality Men's t-shirt",299.0,40.0,0,0,Dhaka,//www.daraz.com.bd/products/-i389097474.html
383345726,383345726_BD-1919932390,"Ensemble Yourself - Highly Durable - Premium T-shirt Fabric soft and comfortable - Sustainable Choice - Understated Sophistication",96.0,52.0,29,0,Dhaka,//www.daraz.com.bd/products/-i383345726.html
197959672,197959672_BD-1147177837,"Stylish - Modern Vibe - Superb Quality - Naruto Kakashi Hatake White Anime T-Shirt - T Shirt - Trend and Needful - Well Inspired & Crafted",120.0,66.0,1000,0,Dhaka,//www.daraz.com.bd/products/stylish-modern-vibe-superb-quality-naruto-kakashi-hatake-white-anime-t-shirt-t-shirt-trend-and-needful-well-inspired-crafted-i197959672.html
217656531,217656531_BD-1165632621,"à¦ªà§à¦°à§à¦·à¦¦à§‡à¦° à¦à¦•à§à¦¸à¦•à§à¦²à§à¦¸à¦¿à¦­ à¦ªà§à¦°à¦¿à¦®à¦¿à¦¯à¦¼à¦¾à¦® à¦®à¦¾à¦¨à§‡à¦° à¦¸à§à¦Ÿà¦¾à¦‡à¦²à¦¿à¦¶ à¦ªà§‹à¦²à§‹ à¦¶à¦¾à¦°à§à¦Ÿ",329.0,40.0,265,0,Dhaka,//www.daraz.com.bd/products/-i217656531.html
337931764,337931764_BD-1649950859,"Exclusive High Quality T-shirt & 2 Quarter Pants For Man",257.0,27.0,245,0,Dhaka,//www.daraz.com.bd/products/2-i337931764.html
213774173,213774173_BD-1253904758,"Cotton Long Sleeve T-Shirt For Men - Genji .",148.0,51.0,664,0,Dhaka,//www.daraz.com.bd/products/-i213774173.html
366630107,366630107_BD-1827467561,"Premium Print stylish new T Shirt - Casual Exclusive half Sleeve T Shirt For Men - T Shirt",89.0,54.0,315,0,Dhaka,//www.daraz.com.bd/products/-i366630107.html
266190896,266190896_BD-1557263020,"Durga Puja Dugga Dugga Casual Half Sleeve T-Shirt For Men's",125.0,52.0,1000,0,Dhaka,//www.daraz.com.bd/products/-i266190896.html
387642822,387642822_BD-1933123959,"Summer Printed Combo T-Shirt & Pant For Men",335.0,48.0,0,0,Dhaka,//www.daraz.com.bd/products/-i387642822.html
367042532,367042532_BD-1829607054,"Exclusive Jersy half Sleeve T Shirt For Men - T Shirt",96.0,52.0,305,0,Dhaka,//www.daraz.com.bd/products/-i367042532.html
339057216,339057216_BD-1660567469,"2024 New Excellent T-shirts Of Good Quality Men's half-sleeved T-shirts",99.0,50.0,3400,0,Dhaka,//www.daraz.com.bd/products/2024-i339057216.html
390369649,390369649_BD-1949760647,"Trendy Stylish Fashion tops ladies short sleeve casual t-shirt for grail",183.0,0.0,8,0,Dhaka,//www.daraz.com.bd/products/-i390369649.html
